name,category,brand,price,mode,unit,url
 Vanilla Unsweetened Almondmilk,Milk Alternatives,Almond Breeze,3.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041570054161
 2% Reduced Fat Milk,Milk Alternatives,Lactaid,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041383090103
 Whole Milk,Milk Alternatives,Lactaid,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041383090363
 Original Oat Milk,Milk Alternatives,Planet Oat,3.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/044100156182
 Vanilla Oat Milk ,Milk Alternatives,Planet Oat,3.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/044100156212
 Organic Soy Milk,Milk Alternatives,Rolling Hills Farm,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/794031148670
 Organic Vanilla Soy Milk ,Milk Alternatives,Rolling Hills Farm,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/079403114874
Baby Carrots,Fresh Vegetables,Bolthouse Farms,1.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/033383666020
Beets,Fresh Vegetables,,1.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4540
Broccoli,Fresh Vegetables,,1.69,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4060
Brussels Sprouts,Fresh Vegetables,PRODUCE UNBRANDED,2.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4550
Butternut Squash,Fresh Vegetables,Generic,1.29,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/000000047593
Carrots,Fresh Vegetables,,0.69,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4562
Cauliflower,Fresh Vegetables,,2.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/55f667bd
Celery Bunch,Fresh Vegetables,,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4582
Collard Greens,Fresh Vegetables,,1.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4614
Cucumber,Fresh Vegetables,,0.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4062
Eggplant,Fresh Vegetables,,1.29,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4081
Garlic (5-pack),Fresh Vegetables,,1.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/d17e4894
Ginger Root,Fresh Vegetables,PRODUCE UNBRANDED,2.19,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4612
"Grape Tomatoes, pint",Fresh Vegetables,,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4796
Green Asparagus Bunch,Fresh Vegetables,,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/3392
Green Bell Peppers,Fresh Vegetables,,1.29,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/3119
Green Cabbage,Fresh Vegetables,,0.69,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4069
Jalapeno Peppers,Fresh Vegetables,,1.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4693
Leeks,Fresh Vegetables,Produce,3.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4629
 Baby Crispy Green Leaf Lettuce,Fresh Vegetables,Little Leaf Farms,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/857394006107
 Baby Red & Green Leaf Lettuce,Fresh Vegetables,Little Leaf Farms,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/857394006114
 Baby Spring Mix,Fresh Vegetables,Little Leaf Farms,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/857394006121
Portobello Mushrooms,Fresh Vegetables,,1.79,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4650
Red Bell Peppers,Fresh Vegetables,PRODUCE UNBRANDED,1.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4688
Red Cabbage,Fresh Vegetables,,0.89,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4554
Red Onions,Fresh Vegetables,,1.19,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4082
Red Potatoes,Fresh Vegetables,,0.69,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4073
Romaine Lettuce Hearts,Fresh Vegetables,,2.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4640
Russet Chef Potatoes,Fresh Vegetables,,0.69,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/3414
Scallions / Green Onions (bunch),Fresh Vegetables,,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4068
Serrano Chili,Fresh Vegetables,,2.29,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4709
Yuca,Fresh Vegetables,,1.29,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/e37341d8
Chayote,Fresh Vegetables,,1.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/805c9792
Malanga Eddoe,Fresh Vegetables,,2.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4644
Sweet Potatoes,Fresh Vegetables,,0.69,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/3474
Tomato Medley,Fresh Vegetables,,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/689259000711
Tomatoes on the Vine,Fresh Vegetables,HYPERMART,2.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4664
White Mushrooms,Fresh Vegetables,Giorgio,2.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/070475656736
Yellow Onions,Fresh Vegetables,,0.79,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/88333371
Yellow Bell Peppers,Fresh Vegetables,PRODUCE UNBRANDED,1.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4689
Zucchini Squash,Fresh Vegetables,,1.19,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4067
Sweet Corn on the Cob,Fresh Vegetables,,0.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4077
Iceberg Lettuce Head,Fresh Vegetables,,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/000651011004
Yukon Gold Potatoes,Fresh Vegetables,,0.59,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/7f9aae74
"Spinach, Bunched",Fresh Vegetables,,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4090
Baby Bok Choy,Fresh Vegetables,,1.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/203f3cda
White Onions,Fresh Vegetables,,1.29,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/c2df3b0a
Orange Bell Peppers,Fresh Vegetables,,1.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/8dee0b9e
Scotch Bonnet Pepper,Fresh Vegetables,,4.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/2f33775b
Name Blanco,Fresh Vegetables,,1.79,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/f3b65658
Yellow Squash,Fresh Vegetables,,1.69,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/e0aa01f6
Kabocha Squash,Fresh Vegetables,,1.49,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/ed7811b2
Spaghetti Squash,Fresh Vegetables,,1.29,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/ba0d4a51
Fresh Salmon Farm Raised,Seafood,Daily Table,6.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/26110700419
Fresh Swordfish Line Caught,Seafood,Daily Table,5.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/26107500323
Fresh Tuna Line Caught,Seafood,Daily Table,5.99,weight,lb,https://centralsquare.dailytable.org/store/daily-table-central-square/product/26107100461
 1% Milk,Milk,Hood,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/044100106804
 1% Lowfat Milk,Milk,Hood,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/044100102523
 2% Reduced Fat Milk,Milk,Hood,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/044100106521
 2%  Milk,Milk,Hood,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/044100102936
 Whole Milk,Milk,Hood,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/044100103209
 Whole Milk,Milk,Hood,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/044100101892
 Heavy Cream,Milk,Hood,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/f8cf6258
Extra Large Cage Free Brown Eggs,Eggs,,4.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/bec34a0c
Extra Large Cage Free White Eggs,Eggs,Mitlitsky,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/763eb641
Large Cage Free Brown Eggs,Eggs,Martin's,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/638d9750
Large Cage Free White Eggs,Eggs,Mitlitsky,3.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/039222000031
 Blueberry Nonfat Yogurt,Yogurt,La Yogurt,0.59,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/053600000581
 Peach Nonfat Yogurt,Yogurt,La Yogurt,0.59,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/053600000666
 Plain Fat Free Unsweetened Yogurt ,Yogurt,La Yogurt,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/053600101073
 Plain Lowfat Unsweetened Yogurt,Yogurt,La Yogurt,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/053600000116
 Plain Whole Milk Unsweetened Yogurt ,Yogurt,La Yogurt,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/053600102353
 Strawberry Nonfat Yogurt,Yogurt,La Yogurt,0.59,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/053600000550
 Vanilla Fat Free Yogurt,Yogurt,La Yogurt,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/053600101318
 Vanilla Nonfat Yogurt,Yogurt,La Yogurt,0.59,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/053600000673
 All Purpose Flour,Baking,Best Yet,3.59,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218741359
 Complete Pancake Mix ,Baking,Best Yet,2.39,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740714
 Evaporated Milk,Baking,Best Yet,1.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/8d8cc088
 Granulated Sugar,Baking,Best Yet,1.89,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218700199
 Light Brown Sugar,Baking,Best Yet,2.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740804
 Plain Bread Crumbs,Baking,Best Yet,1.59,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218720425
 Coconut Milk Leche de Coco,Baking,Madame Gougousse,1.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/d371181a
 Complete Pancake and Waffle Mix,Baking,Best Yet,2.39,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/c886039e
 Plain Bread Crumbs,Baking,Best Yet,1.59,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/60259f31
 Baking Soda 16 oz,Baking,Arm and Hammer,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/51a73f7b
 Corn Starch 14.1 oz,Baking,Maizena,1.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/813f6478
 Plain Bread Crumbs 24 oz,Baking,Cento,2.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/1d7b66f4
 Seasoned Bread Crumbs 24 oz,Baking,Cento,2.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/8cd1cfc4
 Chunk Lite Tuna in Water,Canned Meat & Seafood,Best Yet,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218742597
 Flat Anchovies,Canned Meat & Seafood,Crown Prince,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/073230000317
 Chunk Lite Tuna,Canned Meat & Seafood,Bumblebee,1.19,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/251c6996
 Sardines in Water 4.25 oz,Canned Meat & Seafood,Crown Prince,1.19,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/0c302dea
 Salmon Fillets Lemon Pepper 3.75oz,Canned Meat & Seafood,Poseidon,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/850018470124
 Dry Black Beans,"Rice, Grains & Dried Beans",Best Yet,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218754099
 Light Red Kidney Beans,"Rice, Grains & Dried Beans",Best Yet,1.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740151
 Long Grain Brown Rice,"Rice, Grains & Dried Beans",Best Yet,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218700842
 Long Grain White Rice,"Rice, Grains & Dried Beans",Best Yet,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740221
 Basmati Rice ,"Rice, Grains & Dried Beans",Bombay,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/78608100500
 Extra Long Grain White Rice,"Rice, Grains & Dried Beans",Canilla,4.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331026352
 Golden Parboiled Long Grain Rice,"Rice, Grains & Dried Beans",Canilla,1.39,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331026260
 Chick Peas Garbanzos ,"Rice, Grains & Dried Beans",Goya,1.79,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331024785
 Dry Black Beans ,"Rice, Grains & Dried Beans",Goya,1.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331024792
 Dry Pinto Beans,"Rice, Grains & Dried Beans",Goya,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331024723
 Dry Red Kidney Beans,"Rice, Grains & Dried Beans",Goya,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331024716
 Fine Corn Meal,"Rice, Grains & Dried Beans",Goya,1.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331051002
 Lentils,"Rice, Grains & Dried Beans",Goya,1.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331024761
 Medium Grain Brown Rice,"Rice, Grains & Dried Beans",Goya,1.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331026130
 Medium Grain Brown Rice,"Rice, Grains & Dried Beans",Goya,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331026123
 Medium Grain White Rice,"Rice, Grains & Dried Beans",Goya,5.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331026031
 Red Lentils,"Rice, Grains & Dried Beans",Goya,1.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331024969
 Yellow Split Peas,"Rice, Grains & Dried Beans",Goya,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041331024914
 Parboiled Rice,"Rice, Grains & Dried Beans",Madame Gougousse,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/f24edcbd
 10 lb Parboiled Rice,"Rice, Grains & Dried Beans",Madame Gougousse,7.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/3e7df1fb
Foco Jasmine Rice,"Rice, Grains & Dried Beans",,8.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/a0d6430a
 Jasmine Rice,"Rice, Grains & Dried Beans",Madame Gougousse,8.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/e9217baf
 Parboiled Basmati Rice,"Rice, Grains & Dried Beans",Madame Gougousse,5.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/515a2fd9
 Blackeye Peas 16 oz,"Rice, Grains & Dried Beans",Jack Rabbit,2.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/f087b8d2
 Suddenly Deli Salad Cucumber Couscous,"Rice, Grains & Dried Beans",Betty Crocker,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/7851bfc6
 Dry Roasted Peanuts,Nuts & Dried Fruit,Best Yet,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740981
 Honey Roasted Peanuts,Nuts & Dried Fruit,Best Yet,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218701000
 Lightly Salted Roasted Peanuts,Nuts & Dried Fruit,Best Yet,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218702709
 Bold Sriracha Almonds,Nuts & Dried Fruit,Blue Diamond,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041570110461
 Honey Roasted Almonds,Nuts & Dried Fruit,Blue Diamond,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/041570072561
 Roasted & Salted Cashews,Nuts & Dried Fruit,Daily Table,6.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/280504005996
 Roasted & Salted Peanuts,Nuts & Dried Fruit,Daily Table,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/280506002498
 Smoked Almonds,Nuts & Dried Fruit,Daily Table,5.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/280509005496
 Walnuts,Nuts & Dried Fruit,Daily Table,4.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/280507003692
Ocean Spray Reduced Sugar Craisins,Nuts & Dried Fruit,Ocean Spray,2.49,weight,,https://centralsquare.dailytable.org/store/daily-table-central-square/product/031200001689
 Raw Cashews,Nuts & Dried Fruit,Daily Table,5.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/280503005997
 Raw Almonds,Nuts & Dried Fruit,Daily Table,5.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/280500004993
 Roasted & Salted Almonds,Nuts & Dried Fruit,Daily Table,5.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/280501004992
 Roasted & Salted Pistachios,Nuts & Dried Fruit,Daily Table,5.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/280508003998
 Roasted Almonds No Salt,Nuts & Dried Fruit,Daily Table,5.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/280502004991
  Campechana Cookies,Cookies,Cuetara,0.89,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/8434165470439
 Maria Cookies,Cookies,Cuetara,0.69,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4a95420d
 Ginger Snaps,Cookies,Stauffer's,3.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/34d8ab5f
 Lemon Snaps,Cookies,Stauffer's,3.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/e0a46b80
 Apple Cider Vinegar,Cooking Oils & Vinegars,Best Yet,1.59,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740884
 Extra Virgin Olive Oil,Cooking Oils & Vinegars,Best Yet,4.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218741139
 Pure Olive Oil,Cooking Oils & Vinegars,Best Yet,4.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218700429
 Red Wine Vinegar,Cooking Oils & Vinegars,Best Yet,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218702727
 Vegetable Oil,Cooking Oils & Vinegars,Best Yet,4.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/042187407449
 Distilled White Vinegar,Cooking Oils & Vinegars,Best Yet,1.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740882
 Canola Oil,Cooking Oils & Vinegars,Best Yet,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/aeb62003
 Pepper Mint,Other Snacks,Cool Mints,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/65a76e72
 Wintergreen,Other Snacks,Cool Mints,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/fa7e41da
 Fruit and Nut Trail Mix Bar,Other Snacks,Nature Valley,0.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/39cb2339
 Sweet and Salty Peanut Granola Bar,Other Snacks,Nature Valley,0.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/a42b26fd
 Firm Tofu,Tofu,Chang Shing,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/096625016885
 Pressed Tofu,Tofu,Chang Shing,1.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/096625023890
 Five Spice Tofu,Tofu,Chang Shing,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/27977063
 Eggo Homestyle Waffles,Frozen Breakfast,Kellogg's,3.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/038000402609
 Bacon Toaster Scrambles,Frozen Breakfast,Pillsbury,3.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/018000447626
 Bran Flakes,Cereal,Best Yet,2.29,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740897
 Honey Oats & Flakes,Cereal,Best Yet,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218754156
 Old Fashioned Oats,Cereal,Best Yet,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740727
 Quick Oats,Cereal,Best Yet,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/042187408873
 Quick 5-Minute Grits,Cereal,Quaker,2.49,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/8529f3d3
 Granola Cinnamon Raisin,Cereal,Jeff's,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/5237a50c
 Granola Maple Raisin,Cereal,Jeff's,2.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/c8805530
 Black Beans,"Canned Beans, Fruits & Vegetables",Best Yet,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/9429cf66
 Cut Wax Beans,"Canned Beans, Fruits & Vegetables",Best Yet,0.89,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740629
 Diced Tomatoes,"Canned Beans, Fruits & Vegetables",Best Yet,0.89,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218745009
 Garbanzo Beans,"Canned Beans, Fruits & Vegetables",Best Yet,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740598
 Pinto Beans,"Canned Beans, Fruits & Vegetables",Best Yet,0.99,weight,each,https://centralsquare.dailytable.org/store/daily-table-central-square/product/4218740658
